"cod_muni";"muni";"var1";"var2";"tipo_estab";"qtd_medios_estabelecimentos"
"1304005";"Silves (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1304062";"Tabatinga (AM)";"Total";"Total";"De 200 a menos de 500 ha";"-"
"1304062";"Tabatinga (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1304104";"Tapauá (AM)";"Total";"Total";"De 200 a menos de 500 ha";"12"
"1304104";"Tapauá (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"1304203";"Tefé (AM)";"Total";"Total";"De 200 a menos de 500 ha";"12"
"1304203";"Tefé (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"2"
"1304237";"Tonantins (AM)";"Total";"Total";"De 200 a menos de 500 ha";"3"
"1304237";"Tonantins (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"1"
"1304260";"Uarini (AM)";"Total";"Total";"De 200 a menos de 500 ha";"19"
"1304260";"Uarini (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"-"
"1304302";"Urucará (AM)";"Total";"Total";"De 200 a menos de 500 ha";"36"
"1304302";"Urucará (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"1304401";"Urucurituba (AM)";"Total";"Total";"De 200 a menos de 500 ha";"30"
"1304401";"Urucurituba (AM)";"Total";"Total";"De 500 a menos de 1.000 ha";"9"
"1400027";"Amajari (RR)";"Total";"Total";"De 200 a menos de 500 ha";"70"
"1400027";"Amajari (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"54"
"1400050";"Alto Alegre (RR)";"Total";"Total";"De 200 a menos de 500 ha";"86"
"1400050";"Alto Alegre (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"23"
"1400100";"Boa Vista (RR)";"Total";"Total";"De 200 a menos de 500 ha";"37"
"1400100";"Boa Vista (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"20"
"1400159";"Bonfim (RR)";"Total";"Total";"De 200 a menos de 500 ha";"76"
"1400159";"Bonfim (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"43"
"1400175";"Cantá (RR)";"Total";"Total";"De 200 a menos de 500 ha";"121"
"1400175";"Cantá (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"46"
"1400209";"Caracaraí (RR)";"Total";"Total";"De 200 a menos de 500 ha";"60"
"1400209";"Caracaraí (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"27"
"1400233";"Caroebe (RR)";"Total";"Total";"De 200 a menos de 500 ha";"139"
"1400233";"Caroebe (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"35"
"1400282";"Iracema (RR)";"Total";"Total";"De 200 a menos de 500 ha";"67"
"1400282";"Iracema (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"20"
"1400308";"Mucajaí (RR)";"Total";"Total";"De 200 a menos de 500 ha";"103"
"1400308";"Mucajaí (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"46"
"1400407";"Normandia (RR)";"Total";"Total";"De 200 a menos de 500 ha";"14"
"1400407";"Normandia (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"7"
"1400456";"Pacaraima (RR)";"Total";"Total";"De 200 a menos de 500 ha";"19"
"1400456";"Pacaraima (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"6"
"1400472";"Rorainópolis (RR)";"Total";"Total";"De 200 a menos de 500 ha";"77"
"1400472";"Rorainópolis (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"15"
"1400506";"São João da Baliza (RR)";"Total";"Total";"De 200 a menos de 500 ha";"73"
"1400506";"São João da Baliza (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"11"
"1400605";"São Luiz (RR)";"Total";"Total";"De 200 a menos de 500 ha";"52"
"1400605";"São Luiz (RR)";"Total";"Total";"De 500 a menos de 1.000 ha";"18"
"1400704";"Uiramutã (RR)";"Total";"Total";"De 200 a menos de 500 ha";"17"
