"id_municipio";"empregos_agro"
3112406;361
3112505;148
3112604;371
3112653;33
3112703;344
3112802;137
3112901;70
3113008;65
3113107;36
3113206;750
3113305;159
3113404;535
3113503;207
3113602;169
3113701;931
3113800;14
3113909;1416
3114006;307
3114105;1033
3114204;491
3114303;1273
3114402;1039
3114501;306
3114550;447
3114600;176
3114709;20
3114808;51
3114907;63
3115003;200
3115102;600
3115201;38
3115300;309
3115359;21
3115409;28
3115458;35
3115474;2
3115508;123
3115607;15
3115706;10
3115805;159
3115904;81
3116001;14
3116100;3
3116159;200
3116209;77
3116308;6
3116407;68
3116506;106
3116605;299
3116704;217
3116803;36
3116902;2878
3117009;8
3117108;189
3117207;38
3117306;750
3117405;4
3117504;147
3117603;196
3117702;793
3117801;47
3117836;2
3117876;14
3117900;30
3118007;41
3118106;8
3118205;175
3118304;215
3118403;171
3118502;20
3118601;248
3118700;529
3118809;154
3118908;189
3119005;152
3119104;472
3119203;62
3119302;1648
3119401;32
3119500;15
3119609;55
3119708;162
3119807;111
3119906;12
3119955;86
3120003;40
3120102;71
3120151;137
3120201;492
3120300;100
3120409;75
3120508;250
3120607;37
3120706;219
3120805;299
3120839;27
3120870;129
3120904;2442
3121001;156
3121100;165
3121209;1104
3121258;155
3121308;85
3121407;18
3121506;48
3121605;262
3121704;14
3121803;60
3121902;32
3122009;37
3122108;36
3122207;30
3122306;673
3122355;6
3122405;160
3122454;28
3122470;68
3122504;22
3122603;29
3122702;103
3122801;97
3122900;103
3123007;21
3123106;59
3123205;264
3123304;75
3123403;31
3123502;38
3123528;21
3123601;878
3123700;120
3123809;162
3123858;21
3123908;249
3124005;127
3124104;701
3124203;115
3124302;24
3124401;86
3124500;130
3124609;34
3124708;125
3124807;564
3124906;117
3125002;26
3125101;40
3125200;72
3125309;177
3125408;36
3125507;34
3125606;60
3125705;869
3125804;149
3125903;247
3125952;86
3126000;355
3126109;815
3126208;279
3126307;113
3126406;113
3126505;3
3126604;175
3126703;434
3126752;40
3126802;147
3126901;178
3126950;5
3127008;33
3127057;30
3127073;3
3127107;1507
3127206;230
3127305;153
3127339;18
3127354;27
3127370;10
3127388;78
3127404;123
3127503;14
3127602;89
3127701;1009
3127800;310
3127909;20
3128006;1062
3128105;382
3128204;116
3128253;51
3128303;570
3128402;217
3128501;65
3128600;624
3128709;981
3128808;35
3128907;290
3129004;37
3129103;326
3129202;250
3129301;115
3129400;150
3129509;1657
3129608;73
3129657;1
3129707;716
3129806;27
3129905;28
3130002;80
3130051;6
3130101;90
3130200;415
3130309;159
3130408;84
3130507;397
3130556;101
3130606;65
3130655;41
3130705;561
3130804;214
3130903;109
3131000;273
3131109;316
3131158;254
3131208;76
3131307;92
3131406;462
3131505;240
3131604;275
3131703;811
3131802;11
3131901;145
3132008;332
3132107;398
3132206;89
3132305;23
3132404;213
3132503;1039
3132602;36
3132701;334
3132800;20
3132909;346
3133006;145
3133105;1316
3133204;51
3133303;48
3133402;472
3133501;298
3133600;279
3133709;68
3133758;53
3133808;499
3133907;42
3134004;52
3134103;16
3134202;972
3134301;80
3134400;797
3134509;173
3134608;149
3134707;128
3134806;214
3134905;505
3135001;52
3135050;3672
3135076;77
3135100;1012
3135209;221
3135308;30
3135357;12
3135407;19
3135506;585
3135605;279
3135704;371
3135803;380
3135902;278
3136009;211
3136108;6
3136207;30
3136306;3068
3136405;91
3136504;144
3136520;6
3136553;20
3136579;326
3136603;104
3136652;72
3136702;1132
3136801;115
3136900;104
3136959;22
3137007;40
3137106;172
3137205;261
3137304;39
3137403;320
3137502;589
3137536;426
3137601;100
3137700;113
3137809;89
3137908;8
3138005;43
3138104;1267
3138203;979
3138302;122
3138351;11
3138401;663
3138500;151
3138609;345
3138625;228
3138658;6
3138674;13
3138682;10
3138708;216
3138807;517
3138906;74
3139003;1296
3139102;250
3139201;59
3139300;222
3139409;428
3139508;97
3139607;100
3139706;174
3139805;239
3139904;142
3140001;283
3140100;132
3140159;152
3140209;56
3140308;89
3140407;23
3140506;1036
3140530;39
3140555;13
3140605;77
3140704;406
3140803;115
3140852;788
3140902;158
3141009;7
3141108;239
3141207;93
3141306;318
3141405;76
3141504;22
3141603;101
3141702;22
3141801;221
3141900;166
3142007;39
3142106;122
3142205;87
3142254;4
3142304;43
3142403;130
3142502;76
3142601;246
3142700;83
3142809;1087
3142908;35
3143005;557
3143104;1637
3143153;10
3143203;1049
3143302;2161
3143401;193
3143450;154
3143500;871
3143609;154
3143708;21
3143807;399
3143906;655
3144003;169
3144102;349
3144201;7
3144300;478
3144359;51
3144375;177
3144409;70
3144508;223
3144607;1229
3144656;230
3144672;17
3144706;1443
3144805;227
3144904;101
3145000;880
3145059;710
3145109;161
3145208;215
3145307;100
3145356;49
3145372;2
3145406;26
3145455;529
3145505;109
3145604;1401
