"Cód.";"Município";"Grupos de área total";"Arroz em casca";"Milho em grão";"Soja em grão"
"1100379";"Alto Alegre dos Parecis (RO)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"1100379";"Alto Alegre dos Parecis (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1100379";"Alto Alegre dos Parecis (RO)";"De 2.500 a menos de 10.000 ha";"-";"X";"X"
"1100379";"Alto Alegre dos Parecis (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100403";"Alto Paraíso (RO)";"De 200 a menos de 500 ha";"X";"35";"2396"
"1100403";"Alto Paraíso (RO)";"De 500 a menos de 1.000 ha";"-";"-";"X"
"1100403";"Alto Paraíso (RO)";"De 1.000 a menos de 2.500 ha";"X";"-";"X"
"1100403";"Alto Paraíso (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100403";"Alto Paraíso (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100452";"Buritis (RO)";"De 200 a menos de 500 ha";"-";"15";"-"
"1100452";"Buritis (RO)";"De 500 a menos de 1.000 ha";"X";"X";"-"
"1100452";"Buritis (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1100452";"Buritis (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100452";"Buritis (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100502";"Novo Horizonte do Oeste (RO)";"De 200 a menos de 500 ha";"-";"-";"-"
"1100502";"Novo Horizonte do Oeste (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1100502";"Novo Horizonte do Oeste (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1100502";"Novo Horizonte do Oeste (RO)";"De 2.500 a menos de 10.000 ha";"X";"X";"X"
"1100502";"Novo Horizonte do Oeste (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100601";"Cacaulândia (RO)";"De 200 a menos de 500 ha";"-";"81";"-"
"1100601";"Cacaulândia (RO)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"1100601";"Cacaulândia (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1100601";"Cacaulândia (RO)";"De 2.500 a menos de 10.000 ha";"-";"X";"-"
"1100601";"Cacaulândia (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100700";"Campo Novo de Rondônia (RO)";"De 200 a menos de 500 ha";"-";"10";"-"
"1100700";"Campo Novo de Rondônia (RO)";"De 500 a menos de 1.000 ha";"-";"X";"X"
"1100700";"Campo Novo de Rondônia (RO)";"De 1.000 a menos de 2.500 ha";"X";"-";"-"
"1100700";"Campo Novo de Rondônia (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100700";"Campo Novo de Rondônia (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100809";"Candeias do Jamari (RO)";"De 200 a menos de 500 ha";"X";"X";"X"
"1100809";"Candeias do Jamari (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1100809";"Candeias do Jamari (RO)";"De 1.000 a menos de 2.500 ha";"X";"X";"X"
"1100809";"Candeias do Jamari (RO)";"De 2.500 a menos de 10.000 ha";"-";"X";"X"
"1100809";"Candeias do Jamari (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100908";"Castanheiras (RO)";"De 200 a menos de 500 ha";"-";"X";"X"
"1100908";"Castanheiras (RO)";"De 500 a menos de 1.000 ha";"-";"X";"X"
"1100908";"Castanheiras (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"X"
"1100908";"Castanheiras (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100908";"Castanheiras (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100924";"Chupinguaia (RO)";"De 200 a menos de 500 ha";"-";"-";"X"
"1100924";"Chupinguaia (RO)";"De 500 a menos de 1.000 ha";"-";"X";"X"
"1100924";"Chupinguaia (RO)";"De 1.000 a menos de 2.500 ha";"-";"4397";"22966"
"1100924";"Chupinguaia (RO)";"De 2.500 a menos de 10.000 ha";"-";"7484";"X"
"1100924";"Chupinguaia (RO)";"De 10.000 ha e mais";"-";"X";"X"
"1100940";"Cujubim (RO)";"De 200 a menos de 500 ha";"X";"X";"X"
"1100940";"Cujubim (RO)";"De 500 a menos de 1.000 ha";"X";"-";"X"
"1100940";"Cujubim (RO)";"De 1.000 a menos de 2.500 ha";"X";"X";"X"
"1100940";"Cujubim (RO)";"De 2.500 a menos de 10.000 ha";"X";"X";"X"
"1100940";"Cujubim (RO)";"De 10.000 ha e mais";"X";"-";"X"
"1101005";"Governador Jorge Teixeira (RO)";"De 200 a menos de 500 ha";"-";"X";"-"
"1101005";"Governador Jorge Teixeira (RO)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"1101005";"Governador Jorge Teixeira (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1101005";"Governador Jorge Teixeira (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101005";"Governador Jorge Teixeira (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101104";"Itapuã do Oeste (RO)";"De 200 a menos de 500 ha";"X";"X";"-"
"1101104";"Itapuã do Oeste (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101104";"Itapuã do Oeste (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"X"
"1101104";"Itapuã do Oeste (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101104";"Itapuã do Oeste (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101203";"Ministro Andreazza (RO)";"De 200 a menos de 500 ha";"-";"X";"-"
"1101203";"Ministro Andreazza (RO)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"1101203";"Ministro Andreazza (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1101203";"Ministro Andreazza (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101203";"Ministro Andreazza (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101302";"Mirante da Serra (RO)";"De 200 a menos de 500 ha";"-";"X";"-"
"1101302";"Mirante da Serra (RO)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"1101302";"Mirante da Serra (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1101302";"Mirante da Serra (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101302";"Mirante da Serra (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101401";"Monte Negro (RO)";"De 200 a menos de 500 ha";"-";"X";"-"
"1101401";"Monte Negro (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101401";"Monte Negro (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1101401";"Monte Negro (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101401";"Monte Negro (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101435";"Nova União (RO)";"De 200 a menos de 500 ha";"-";"-";"-"
"1101435";"Nova União (RO)";"De 500 a menos de 1.000 ha";"-";"X";"-"
"1101435";"Nova União (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1101435";"Nova União (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101435";"Nova União (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101450";"Parecis (RO)";"De 200 a menos de 500 ha";"-";"-";"-"
"1101450";"Parecis (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101450";"Parecis (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1101450";"Parecis (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101450";"Parecis (RO)";"De 10.000 ha e mais";"-";"X";"X"
"1101468";"Pimenteiras do Oeste (RO)";"De 200 a menos de 500 ha";"X";"3105";"11447"
"1101468";"Pimenteiras do Oeste (RO)";"De 500 a menos de 1.000 ha";"X";"2381";"X"
"1101468";"Pimenteiras do Oeste (RO)";"De 1.000 a menos de 2.500 ha";"-";"5150";"X"
"1101468";"Pimenteiras do Oeste (RO)";"De 2.500 a menos de 10.000 ha";"-";"3976";"18675"
"1101468";"Pimenteiras do Oeste (RO)";"De 10.000 ha e mais";"-";"X";"X"
"1101476";"Primavera de Rondônia (RO)";"De 200 a menos de 500 ha";"-";"-";"-"
"1101476";"Primavera de Rondônia (RO)";"De 500 a menos de 1.000 ha";"X";"-";"-"
"1101476";"Primavera de Rondônia (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1101476";"Primavera de Rondônia (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101476";"Primavera de Rondônia (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101484";"São Felipe D'Oeste (RO)";"De 200 a menos de 500 ha";"-";"X";"X"
"1101484";"São Felipe D'Oeste (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101484";"São Felipe D'Oeste (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"X"
"1101484";"São Felipe D'Oeste (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1101484";"São Felipe D'Oeste (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101492";"São Francisco do Guaporé (RO)";"De 200 a menos de 500 ha";"-";"10";"-"
"1101492";"São Francisco do Guaporé (RO)";"De 500 a menos de 1.000 ha";"-";"-";"-"
"1101492";"São Francisco do Guaporé (RO)";"De 1.000 a menos de 2.500 ha";"X";"X";"X"
"1101492";"São Francisco do Guaporé (RO)";"De 2.500 a menos de 10.000 ha";"X";"-";"-"
"1101492";"São Francisco do Guaporé (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1101500";"Seringueiras (RO)";"De 200 a menos de 500 ha";"X";"-";"X"
