"id_municipio","muni","acessos_2019","pop_resid_estimada_2019","acessos_cada_100_mil_hab","class_acessos_100mil_2019"
1504802,"Monte Alegre (PA)",167706,58032,288988.833746898,"Médio Baixo"
1504901,"Muaná (PA)",80173,40349,198698.852511834,"Baixo"
1504950,"Nova Esperança do Piriá (PA)",45650,21368,213637.214526395,"Baixo"
1504976,"Nova Ipixuna (PA)",47052,16678,282120.158292361,"Médio Baixo"
1505007,"Nova Timboteua (PA)",46856,15363,304992.514482848,"Médio Baixo"
1505031,"Novo Progresso (PA)",166529,25762,646413.321947054,"Alto"
1505064,"Novo Repartimento (PA)",200999,75919,264754.541023986,"Médio Baixo"
1505106,"Óbidos (PA)",137850,52137,264399.562690604,"Médio Baixo"
1505205,"Oeiras do Pará (PA)",57746,32512,177614.419291339,"Muito Baixo"
1505304,"Oriximiná (PA)",208512,73096,285257.743241764,"Médio Baixo"
1505403,"Ourém (PA)",55438,17842,310716.287411725,"Médio Baixo"
1505437,"Ourilândia do Norte (PA)",148885,32832,453475.268031189,"Médio Alto"
1505486,"Pacajá (PA)",100760,47706,211210.329937534,"Baixo"
1505494,"Palestina do Pará (PA)",21339,7589,281183.291606272,"Médio Baixo"
1505502,"Paragominas (PA)",682022,113145,602785.805824385,"Alto"
1505536,"Parauapebas (PA)",1692573,208273,812670.389344754,"Muito Alto"
1505551,"Pau D'Arco (PA)",23562,5483,429728.250957505,"Médio Alto"
1505601,"Peixe-Boi (PA)",9015,8077,111613.222731212,"Muito Baixo"
1505635,"Piçarra (PA)",28550,12981,219936.830752638,"Baixo"
1505650,"Placas (PA)",43117,30982,139167.903944226,"Muito Baixo"
1505700,"Ponta de Pedras (PA)",65113,31082,209487.806447462,"Baixo"
1505809,"Portel (PA)",113196,62043,182447.657269958,"Baixo"
1505908,"Porto de Moz (PA)",92690,41135,225331.226449496,"Baixo"
1506005,"Prainha (PA)",54551,29866,182652.514565057,"Baixo"
1506104,"Primavera (PA)",41271,10825,381256.351039261,"Médio Alto"
1506112,"Quatipuru (PA)",25067,13608,184207.818930041,"Baixo"
1506138,"Redenção (PA)",656260,84787,774010.166652907,"Muito Alto"
1506161,"Rio Maria (PA)",113325,18193,622904.413785522,"Alto"
1506187,"Rondon do Pará (PA)",186621,52357,356439.444582386,"Médio Alto"
1506195,"Rurópolis (PA)",80211,50510,158802.217382696,"Muito Baixo"
1506203,"Salinópolis (PA)",255038,40675,627014.136447449,"Alto"
1506302,"Salvaterra (PA)",72051,23752,303347.086561132,"Médio Baixo"
1506351,"Santa Bárbara do Pará (PA)",92027,21079,436581.431756725,"Médio Alto"
1506401,"Santa Cruz do Arari (PA)",26207,10128,258757.898894155,"Médio Baixo"
1506500,"Santa Izabel do Pará (PA)",353724,70801,499603.112950382,"Alto"
1506559,"Santa Luzia do Pará (PA)",55947,19848,281877.267230955,"Médio Baixo"
1506583,"Santa Maria das Barreiras (PA)",15788,21449,73607.1611730151,"Muito Baixo"
1506609,"Santa Maria do Pará (PA)",115892,24861,466159.848759101,"Médio Alto"
1506708,"Santana do Araguaia (PA)",135291,72817,185795.899309227,"Baixo"
1506807,"Santarém (PA)",3706273,304589,1216811.17834196,"Muito Alto"
1506906,"Santarém Novo (PA)",22211,6709,331062.751527798,"Médio Baixo"
1507003,"Santo Antônio do Tauá (PA)",105929,31482,336474.811003113,"Médio Alto"
1507102,"São Caetano de Odivelas (PA)",47542,18050,263390.581717452,"Médio Baixo"
1507151,"São Domingos do Araguaia (PA)",99384,25557,388871.933325508,"Médio Alto"
1507201,"São Domingos do Capim (PA)",64973,31989,203110.444215199,"Baixo"
1507300,"São Félix do Xingu (PA)",214819,128481,167199.041103354,"Muito Baixo"
1507409,"São Francisco do Pará (PA)",46171,15882,290712.756579776,"Médio Baixo"
1507458,"São Geraldo do Araguaia (PA)",71790,24847,288928.240833903,"Médio Baixo"
1507466,"São João da Ponta (PA)",16758,6139,272976.054732041,"Médio Baixo"
1507474,"São João de Pirabas (PA)",67016,23045,290804.946843133,"Médio Baixo"
1507508,"São João do Araguaia (PA)",23820,13996,170191.483280937,"Muito Baixo"
1507607,"São Miguel do Guamá (PA)",221750,58986,375936.662936968,"Médio Alto"
1507706,"São Sebastião da Boa Vista (PA)",70455,26640,264470.720720721,"Médio Baixo"
1507755,"Sapucaia (PA)",25713,5930,433608.768971332,"Médio Alto"
1507805,"Senador José Porfírio (PA)",5930,11658,50866.3578658432,"Muito Baixo"
1507904,"Soure (PA)",104758,25374,412855.679041539,"Médio Alto"
1507953,"Tailândia (PA)",303014,106339,284950.958726337,"Médio Baixo"
1507961,"Terra Alta (PA)",27519,11720,234803.754266212,"Baixo"
1507979,"Terra Santa (PA)",45648,18769,243209.547658373,"Baixo"
1508001,"Tomé-Açu (PA)",198118,63447,312257.474742699,"Médio Baixo"
1508035,"Tracuateua (PA)",38531,30959,124458.15433315,"Muito Baixo"
1508050,"Trairão (PA)",50841,18989,267739.217441677,"Médio Baixo"
1508084,"Tucumã (PA)",243656,39602,615261.855461845,"Alto"
1508100,"Tucuruí (PA)",591639,113659,520538.628705162,"Alto"
1508126,"Ulianópolis (PA)",100256,59210,169322.749535551,"Muito Baixo"
1508159,"Uruará (PA)",164335,45476,361366.43504266,"Médio Alto"
1508209,"Vigia (PA)",208304,53686,388004.32142458,"Médio Alto"
1508308,"Viseu (PA)",92158,61403,150087.129293357,"Muito Baixo"
1508357,"Vitória do Xingu (PA)",125754,15134,830936.963129377,"Muito Alto"
1508407,"Xinguara (PA)",290703,44751,649601.126231816,"Alto"
1600055,"Serra do Navio (AP)",22070,5397,408930.887530109,"Médio Alto"
1600105,"Amapá (AP)",51915,9109,569930.83763311,"Alto"
1600154,"Pedra Branca do Amapari (AP)",40842,16502,247497.273057811,"Médio Baixo"
1600204,"Calçoene (AP)",35031,11117,315111.990644958,"Médio Baixo"
1600212,"Cutias (AP)",17195,5983,287397.626608725,"Médio Baixo"
1600238,"Ferreira Gomes (AP)",23257,7780,298933.161953728,"Médio Baixo"
1600253,"Itaubal (AP)",14186,5503,257786.661820825,"Médio Baixo"
1600279,"Laranjal do Jari (AP)",186061,50410,369095.417575878,"Médio Alto"
