"","cod_muni","muni","qtd_cabecas_de_gado_2019","class_gado_2019"
"264",1506708,"Santana do Araguaia (PA)",498656,"Muito Alto"
"265",1506807,"Santarém (PA)",118450,"Médio Alto"
"266",1506906,"Santarém Novo (PA)",2720,"Baixo"
"267",1507003,"Santo Antônio do Tauá (PA)",56466,"Médio Alto"
"268",1507102,"São Caetano de Odivelas (PA)",1896,"Muito Baixo"
"269",1507151,"São Domingos do Araguaia (PA)",172623,"Alto"
"270",1507201,"São Domingos do Capim (PA)",43838,"Médio Baixo"
"271",1507300,"São Félix do Xingu (PA)",2241537,"Muito Alto"
"272",1507409,"São Francisco do Pará (PA)",17433,"Médio Baixo"
"273",1507458,"São Geraldo do Araguaia (PA)",379623,"Muito Alto"
"274",1507466,"São João da Ponta (PA)",957,"Muito Baixo"
"275",1507474,"São João de Pirabas (PA)",3408,"Baixo"
"276",1507508,"São João do Araguaia (PA)",88100,"Médio Alto"
"277",1507607,"São Miguel do Guamá (PA)",40166,"Médio Baixo"
"278",1507706,"São Sebastião da Boa Vista (PA)",49,"Muito Baixo"
"279",1507755,"Sapucaia (PA)",163086,"Alto"
"280",1507805,"Senador José Porfírio (PA)",80557,"Médio Alto"
"281",1507904,"Soure (PA)",35728,"Médio Baixo"
"282",1507953,"Tailândia (PA)",85986,"Médio Alto"
"283",1507961,"Terra Alta (PA)",3212,"Baixo"
"284",1507979,"Terra Santa (PA)",28466,"Médio Baixo"
"285",1508001,"Tomé-Açu (PA)",105335,"Médio Alto"
"286",1508035,"Tracuateua (PA)",9635,"Baixo"
"287",1508050,"Trairão (PA)",111577,"Médio Alto"
"288",1508084,"Tucumã (PA)",326499,"Muito Alto"
"289",1508100,"Tucuruí (PA)",68149,"Médio Alto"
"290",1508126,"Ulianópolis (PA)",64093,"Médio Alto"
"291",1508159,"Uruará (PA)",305929,"Alto"
"292",1508209,"Vigia (PA)",4134,"Baixo"
"293",1508308,"Viseu (PA)",89076,"Médio Alto"
"294",1508357,"Vitória do Xingu (PA)",153683,"Alto"
"295",1508407,"Xinguara (PA)",456513,"Muito Alto"
"296",1600055,"Serra do Navio (AP)",463,"Muito Baixo"
"297",1600105,"Amapá (AP)",10635,"Baixo"
"298",1600154,"Pedra Branca do Amapari (AP)",915,"Muito Baixo"
"299",1600204,"Calçoene (AP)",4480,"Baixo"
"300",1600212,"Cutias (AP)",786,"Muito Baixo"
"301",1600238,"Ferreira Gomes (AP)",825,"Muito Baixo"
"302",1600253,"Itaubal (AP)",1367,"Muito Baixo"
"303",1600279,"Laranjal do Jari (AP)",2280,"Muito Baixo"
"304",1600303,"Macapá (AP)",8248,"Baixo"
"305",1600402,"Mazagão (AP)",1130,"Muito Baixo"
"306",1600501,"Oiapoque (AP)",2320,"Muito Baixo"
"307",1600535,"Porto Grande (AP)",5233,"Baixo"
"308",1600550,"Pracuúba (AP)",2596,"Baixo"
"309",1600600,"Santana (AP)",1570,"Muito Baixo"
"310",1600709,"Tartarugalzinho (AP)",10328,"Baixo"
"311",1600808,"Vitória do Jari (AP)",1120,"Muito Baixo"
"312",1700251,"Abreulândia (TO)",62363,"Médio Alto"
"313",1700301,"Aguiarnópolis (TO)",10100,"Baixo"
"314",1700350,"Aliança do Tocantins (TO)",79513,"Médio Alto"
"315",1700400,"Almas (TO)",59600,"Médio Alto"
"316",1700707,"Alvorada (TO)",51188,"Médio Alto"
"317",1701002,"Ananás (TO)",89874,"Médio Alto"
"318",1701051,"Angico (TO)",13515,"Baixo"
"319",1701101,"Aparecida do Rio Negro (TO)",17340,"Médio Baixo"
"320",1701309,"Aragominas (TO)",89605,"Médio Alto"
"321",1701903,"Araguacema (TO)",60958,"Médio Alto"
"322",1702000,"Araguaçu (TO)",369121,"Muito Alto"
"323",1702109,"Araguaína (TO)",242047,"Alto"
"324",1702158,"Araguanã (TO)",88097,"Médio Alto"
"325",1702208,"Araguatins (TO)",155471,"Alto"
"326",1702307,"Arapoema (TO)",141575,"Alto"
"327",1702406,"Arraias (TO)",198515,"Alto"
"328",1702554,"Augustinópolis (TO)",60267,"Médio Alto"
"329",1702703,"Aurora do Tocantins (TO)",43600,"Médio Baixo"
"330",1702901,"Axixá do Tocantins (TO)",41786,"Médio Baixo"
"331",1703008,"Babaçulândia (TO)",56501,"Médio Alto"
"332",1703057,"Bandeirantes do Tocantins (TO)",136085,"Médio Alto"
"333",1703073,"Barra do Ouro (TO)",27355,"Médio Baixo"
"334",1703107,"Barrolândia (TO)",57911,"Médio Alto"
"335",1703206,"Bernardo Sayão (TO)",89320,"Médio Alto"
"336",1703305,"Bom Jesus do Tocantins (TO)",27807,"Médio Baixo"
"337",1703602,"Brasilândia do Tocantins (TO)",37737,"Médio Baixo"
"338",1703701,"Brejinho de Nazaré (TO)",46839,"Médio Baixo"
"339",1703800,"Buriti do Tocantins (TO)",31624,"Médio Baixo"
"340",1703826,"Cachoeirinha (TO)",7276,"Baixo"
"341",1703842,"Campos Lindos (TO)",30551,"Médio Baixo"
"342",1703867,"Cariri do Tocantins (TO)",67043,"Médio Alto"
"343",1703883,"Carmolândia (TO)",37181,"Médio Baixo"
"344",1703891,"Carrasco Bonito (TO)",21414,"Médio Baixo"
"345",1703909,"Caseara (TO)",32625,"Médio Baixo"
"346",1704105,"Centenário (TO)",17161,"Médio Baixo"
"347",1704600,"Chapada de Areia (TO)",27031,"Médio Baixo"
"348",1705102,"Chapada da Natividade (TO)",30000,"Médio Baixo"
"349",1705508,"Colinas do Tocantins (TO)",114272,"Médio Alto"
"350",1705557,"Combinado (TO)",22800,"Médio Baixo"
"351",1705607,"Conceição do Tocantins (TO)",30945,"Médio Baixo"
"352",1706001,"Couto Magalhães (TO)",52554,"Médio Alto"
"353",1706100,"Cristalândia (TO)",66836,"Médio Alto"
"354",1706258,"Crixás do Tocantins (TO)",40093,"Médio Baixo"
"355",1706506,"Darcinópolis (TO)",19012,"Médio Baixo"
"356",1707009,"Dianópolis (TO)",49800,"Médio Baixo"
"357",1707108,"Divinópolis do Tocantins (TO)",111986,"Médio Alto"
"358",1707207,"Dois Irmãos do Tocantins (TO)",157495,"Alto"
"359",1707306,"Dueré (TO)",144502,"Alto"
"360",1707405,"Esperantina (TO)",22768,"Médio Baixo"
"361",1707553,"Fátima (TO)",21708,"Médio Baixo"
"362",1707652,"Figueirópolis (TO)",90753,"Médio Alto"
"363",1707702,"Filadélfia (TO)",99455,"Médio Alto"
"364",1708205,"Formoso do Araguaia (TO)",252202,"Alto"
"365",1708254,"Fortaleza do Tabocão (TO)",54234,"Médio Alto"
"366",1708304,"Goianorte (TO)",95753,"Médio Alto"
"367",1709005,"Goiatins (TO)",54961,"Médio Alto"
"368",1709302,"Guaraí (TO)",113391,"Médio Alto"
"369",1709500,"Gurupi (TO)",89939,"Médio Alto"
"370",1709807,"Ipueiras (TO)",20638,"Médio Baixo"
"371",1710508,"Itacajá (TO)",72906,"Médio Alto"
"372",1710706,"Itaguatins (TO)",58835,"Médio Alto"
"373",1710904,"Itapiratins (TO)",50308,"Médio Baixo"
"374",1711100,"Itaporã do Tocantins (TO)",102092,"Médio Alto"
"375",1711506,"Jaú do Tocantins (TO)",92239,"Médio Alto"
"376",1711803,"Juarina (TO)",22153,"Médio Baixo"
"377",1711902,"Lagoa da Confusão (TO)",86040,"Médio Alto"
"378",1711951,"Lagoa do Tocantins (TO)",11828,"Baixo"
"379",1712009,"Lajeado (TO)",5852,"Baixo"
"380",1712157,"Lavandeira (TO)",20145,"Médio Baixo"
"381",1712405,"Lizarda (TO)",19614,"Médio Baixo"
"382",1712454,"Luzinópolis (TO)",8126,"Baixo"
"383",1712504,"Marianópolis do Tocantins (TO)",99924,"Médio Alto"
"384",1712702,"Mateiros (TO)",7488,"Baixo"
"385",1712801,"Maurilândia do Tocantins (TO)",20510,"Médio Baixo"
"386",1713205,"Miracema do Tocantins (TO)",127173,"Médio Alto"
"387",1713304,"Miranorte (TO)",66667,"Médio Alto"
"388",1713601,"Monte do Carmo (TO)",70985,"Médio Alto"
"389",1713700,"Monte Santo do Tocantins (TO)",69136,"Médio Alto"
"390",1713809,"Palmeiras do Tocantins (TO)",32605,"Médio Baixo"
"391",1713957,"Muricilândia (TO)",69571,"Médio Alto"
"392",1714203,"Natividade (TO)",75720,"Médio Alto"
"393",1714302,"Nazaré (TO)",17733,"Médio Baixo"
"394",1714880,"Nova Olinda (TO)",71321,"Médio Alto"
"395",1715002,"Nova Rosalândia (TO)",18631,"Médio Baixo"
"396",1715101,"Novo Acordo (TO)",12657,"Baixo"
"397",1715150,"Novo Alegre (TO)",20990,"Médio Baixo"
"398",1715259,"Novo Jardim (TO)",11800,"Baixo"
"399",1715507,"Oliveira de Fátima (TO)",9867,"Baixo"
"400",1715705,"Palmeirante (TO)",58322,"Médio Alto"
"401",1715754,"Palmeirópolis (TO)",62579,"Médio Alto"
"402",1716109,"Paraíso do Tocantins (TO)",85170,"Médio Alto"
"403",1716208,"Paranã (TO)",137896,"Alto"
"404",1716307,"Pau D'Arco (TO)",84928,"Médio Alto"
"405",1716505,"Pedro Afonso (TO)",23096,"Médio Baixo"
"406",1716604,"Peixe (TO)",201330,"Alto"
"407",1716653,"Pequizeiro (TO)",95229,"Médio Alto"
"408",1716703,"Colméia (TO)",87406,"Médio Alto"
"409",1717008,"Pindorama do Tocantins (TO)",46554,"Médio Baixo"
"410",1717206,"Piraquê (TO)",87241,"Médio Alto"
"411",1717503,"Pium (TO)",175591,"Alto"
"412",1717800,"Ponte Alta do Bom Jesus (TO)",32970,"Médio Baixo"
"413",1717909,"Ponte Alta do Tocantins (TO)",68529,"Médio Alto"
"414",1718006,"Porto Alegre do Tocantins (TO)",8020,"Baixo"
"415",1718204,"Porto Nacional (TO)",102776,"Médio Alto"
"416",1718303,"Praia Norte (TO)",23240,"Médio Baixo"
"417",1718402,"Presidente Kennedy (TO)",39988,"Médio Baixo"
"418",1718451,"Pugmil (TO)",14292,"Baixo"
"419",1718501,"Recursolândia (TO)",32022,"Médio Baixo"
"420",1718550,"Riachinho (TO)",31885,"Médio Baixo"
"421",1718659,"Rio da Conceição (TO)",1315,"Muito Baixo"
"422",1718709,"Rio dos Bois (TO)",14701,"Baixo"
"423",1718758,"Rio Sono (TO)",45842,"Médio Baixo"
"424",1718808,"Sampaio (TO)",11315,"Baixo"
"425",1718840,"Sandolândia (TO)",184643,"Alto"
"426",1718865,"Santa Fé do Araguaia (TO)",110065,"Médio Alto"
"427",1718881,"Santa Maria do Tocantins (TO)",26440,"Médio Baixo"
"428",1718899,"Santa Rita do Tocantins (TO)",83341,"Médio Alto"
"429",1718907,"Santa Rosa do Tocantins (TO)",30515,"Médio Baixo"
"430",1719004,"Santa Tereza do Tocantins (TO)",18258,"Médio Baixo"
"431",1720002,"Santa Terezinha do Tocantins (TO)",9372,"Baixo"
"432",1720101,"São Bento do Tocantins (TO)",27206,"Médio Baixo"
"433",1720150,"São Félix do Tocantins (TO)",3486,"Baixo"
"434",1720200,"São Miguel do Tocantins (TO)",21918,"Médio Baixo"
"435",1720259,"São Salvador do Tocantins (TO)",26673,"Médio Baixo"
"436",1720309,"São Sebastião do Tocantins (TO)",24989,"Médio Baixo"
"437",1720499,"São Valério (TO)",45135,"Médio Baixo"
