"","cod_muni","muni","pessoal_ocupado_agro","pessoal_ocupado_agro_familiar","perc_familiar_sobre_agro","class_familiar_sobre_agro"
"175",5106299,"Paranaíta (MT)",4674,3940,0.84,"Médio Alto"
"176",1506005,"Prainha (PA)",4285,3939,0.92,"Muito Alto"
"177",1300680,"Boa Vista do Ramos (AM)",6098,3935,0.65,"Baixo"
"178",1303601,"Santa Isabel do Rio Negro (AM)",3962,3931,0.99,"Muito Alto"
"179",1300607,"Benjamin Constant (AM)",4007,3930,0.98,"Muito Alto"
"180",1304104,"Tapauá (AM)",4047,3920,0.97,"Muito Alto"
"181",1100064,"Colorado do Oeste (RO)",4891,3916,0.8,"Médio Alto"
"182",2109809,"Santa Helena (MA)",5059,3915,0.77,"Médio Alto"
"183",2110203,"Santa Rita (MA)",5681,3913,0.69,"Médio Baixo"
"184",1501956,"Cachoeira do Piriá (PA)",4552,3907,0.86,"Alto"
"185",2101202,"Bacabal (MA)",5372,3906,0.73,"Médio Baixo"
"186",2102507,"Cajari (MA)",5546,3898,0.7,"Médio Baixo"
"187",1101708,"Urupá (RO)",4229,3877,0.92,"Muito Alto"
"188",1200138,"Bujari (AC)",4679,3853,0.82,"Médio Alto"
"189",1718204,"Porto Nacional (TO)",5212,3848,0.74,"Médio Baixo"
"190",1200252,"Epitaciolândia (AC)",4525,3827,0.85,"Alto"
"191",1600402,"Mazagão (AP)",4406,3826,0.87,"Alto"
"192",1200807,"Porto Acre (AC)",4672,3815,0.82,"Médio Alto"
"193",1300029,"Alvarães (AM)",5153,3811,0.74,"Médio Baixo"
"194",2112308,"Tuntum (MA)",7076,3798,0.54,"Muito Baixo"
"195",1506187,"Rondon do Pará (PA)",5495,3785,0.69,"Médio Baixo"
"196",5105101,"Juara (MT)",5469,3784,0.69,"Médio Baixo"
"197",1200385,"Plácido de Castro (AC)",4728,3766,0.8,"Médio Alto"
"198",1500503,"Almeirim (PA)",4230,3765,0.89,"Alto"
"199",2100204,"Alcântara (MA)",4368,3747,0.86,"Alto"
"200",5106109,"Nossa Senhora do Livramento (MT)",4901,3739,0.76,"Médio Baixo"
"201",2105104,"Icatu (MA)",3989,3725,0.93,"Muito Alto"
"202",2107100,"Morros (MA)",4066,3722,0.92,"Muito Alto"
"203",1301407,"Eirunepé (AM)",4641,3719,0.8,"Médio Alto"
"204",1301001,"Carauari (AM)",4026,3716,0.92,"Muito Alto"
"205",1504752,"Mojuí dos Campos (PA)",4439,3709,0.84,"Médio Alto"
"206",1301605,"Fonte Boa (AM)",4683,3662,0.78,"Médio Alto"
"207",1505437,"Ourilândia do Norte (PA)",4817,3653,0.76,"Médio Baixo"
"208",5100250,"Alta Floresta (MT)",5291,3645,0.69,"Médio Baixo"
"209",5108600,"Vila Rica (MT)",5129,3640,0.71,"Médio Baixo"
"210",5107958,"Tangará da Serra (MT)",5962,3632,0.61,"Baixo"
"211",1100080,"Costa Marques (RO)",4425,3624,0.82,"Médio Alto"
"212",5106158,"Nova Bandeirantes (MT)",4296,3621,0.84,"Médio Alto"
"213",1200013,"Acrelândia (AC)",4198,3613,0.86,"Alto"
"214",1302306,"Jutaí (AM)",4245,3598,0.85,"Alto"
"215",5107701,"Rosário Oeste (MT)",4583,3597,0.78,"Médio Alto"
"216",1100072,"Corumbiara (RO)",5921,3575,0.6,"Baixo"
"217",1400209,"Caracaraí (RR)",4081,3531,0.87,"Alto"
"218",1200450,"Senador Guiomard (AC)",4790,3527,0.74,"Médio Baixo"
"219",1400159,"Bonfim (RR)",4657,3512,0.75,"Médio Baixo"
"220",1508126,"Ulianópolis (PA)",4835,3509,0.73,"Médio Baixo"
"221",1200179,"Capixaba (AC)",3980,3489,0.88,"Alto"
"222",5103304,"Comodoro (MT)",4869,3488,0.72,"Médio Baixo"
"223",1300904,"Canutama (AM)",4168,3485,0.84,"Médio Alto"
"224",1503044,"Floresta do Araguaia (PA)",5084,3481,0.68,"Médio Baixo"
"225",1301308,"Codajás (AM)",3878,3473,0.9,"Alto"
"226",2111409,"São Luís Gonzaga do Maranhão (MA)",4111,3468,0.84,"Médio Alto"
"227",1101435,"Nova União (RO)",4569,3460,0.76,"Médio Baixo"
"228",5103205,"Colíder (MT)",4088,3452,0.84,"Médio Alto"
"229",2101400,"Balsas (MA)",5974,3442,0.58,"Baixo"
"230",1301803,"Ipixuna (AM)",4233,3435,0.81,"Médio Alto"
"231",5103403,"Cuiabá (MT)",4349,3427,0.79,"Médio Alto"
"232",5107107,"São José dos Quatro Marcos (MT)",3999,3420,0.86,"Alto"
"233",2100055,"Açailândia (MA)",6288,3410,0.54,"Muito Baixo"
"234",1400100,"Boa Vista (RR)",4350,3409,0.78,"Médio Alto"
"235",5103858,"Gaúcha do Norte (MT)",4591,3390,0.74,"Médio Baixo"
"236",1101401,"Monte Negro (RO)",3978,3387,0.85,"Alto"
"237",1501105,"Bagre (PA)",3439,3387,0.98,"Muito Alto"
"238",1503093,"Goianésia do Pará (PA)",4068,3385,0.83,"Médio Alto"
"239",1301506,"Envira (AM)",5885,3381,0.57,"Muito Baixo"
"240",2104107,"Fortaleza dos Nogueiras (MA)",4111,3376,0.82,"Médio Alto"
"241",5102603,"Campinápolis (MT)",4057,3367,0.83,"Médio Alto"
"242",1301654,"Guajará (AM)",4124,3361,0.81,"Médio Alto"
"243",5105507,"Vila Bela da Santíssima Trindade (MT)",5308,3352,0.63,"Baixo"
"244",5108055,"Terra Nova do Norte (MT)",4003,3336,0.83,"Médio Alto"
"245",1600501,"Oiapoque (AP)",3447,3335,0.97,"Muito Alto"
"246",2102325,"Buriticupu (MA)",5223,3333,0.64,"Baixo"
"247",1507458,"São Geraldo do Araguaia (PA)",4649,3314,0.71,"Médio Baixo"
"248",1303700,"Santo Antônio do Içá (AM)",3329,3284,0.99,"Muito Alto"
"249",2104057,"Estreito (MA)",4243,3275,0.77,"Médio Alto"
"250",2102804,"Carolina (MA)",4541,3274,0.72,"Médio Baixo"
"251",2110500,"São Bento (MA)",4750,3271,0.69,"Médio Baixo"
"252",2112100,"Timbiras (MA)",3810,3248,0.85,"Alto"
"253",1303304,"Novo Aripuanã (AM)",3557,3243,0.91,"Muito Alto"
"254",1716208,"Paranã (TO)",4808,3236,0.67,"Baixo"
"255",1100304,"Vilhena (RO)",4970,3230,0.65,"Baixo"
"256",2108900,"Poção de Pedras (MA)",3976,3227,0.81,"Médio Alto"
"257",1505536,"Parauapebas (PA)",4752,3209,0.68,"Médio Baixo"
"258",1502756,"Concórdia do Pará (PA)",5254,3206,0.61,"Baixo"
"259",2110302,"Santo Antônio dos Lopes (MA)",4499,3200,0.71,"Médio Baixo"
"260",1300631,"Beruri (AM)",3756,3199,0.85,"Alto"
"261",5101902,"Brasnorte (MT)",5632,3197,0.57,"Muito Baixo"
"262",1100502,"Novo Horizonte do Oeste (RO)",4172,3189,0.76,"Médio Baixo"
"263",1508357,"Vitória do Xingu (PA)",3847,3185,0.83,"Médio Alto"
"264",2112902,"Vitória do Mearim (MA)",4782,3171,0.66,"Baixo"
"265",1101302,"Mirante da Serra (RO)",3516,3166,0.9,"Alto"
"266",5107065,"Querência (MT)",5770,3113,0.54,"Muito Baixo"
"267",1709005,"Goiatins (TO)",3931,3093,0.79,"Médio Alto"
"268",2104081,"Fernando Falcão (MA)",3583,3065,0.86,"Alto"
"269",1100809,"Candeias do Jamari (RO)",3793,3051,0.8,"Médio Alto"
"270",1501576,"Bom Jesus do Tocantins (PA)",4478,3045,0.68,"Médio Baixo"
"271",2107456,"Olinda Nova do Maranhão (MA)",4903,3034,0.62,"Baixo"
"272",5106216,"Nova Canaã do Norte (MT)",3818,2997,0.78,"Médio Alto"
"273",5107859,"São Félix do Araguaia (MT)",5089,2990,0.59,"Baixo"
"274",1507151,"São Domingos do Araguaia (PA)",3835,2987,0.78,"Médio Alto"
"275",2102002,"Bom Jardim (MA)",3940,2960,0.75,"Médio Baixo"
"276",1505635,"Piçarra (PA)",4378,2919,0.67,"Baixo"
"277",5106752,"Pontes e Lacerda (MT)",4335,2917,0.67,"Baixo"
"278",1718758,"Rio Sono (TO)",3246,2897,0.89,"Alto"
"279",1200336,"Mâncio Lima (AC)",3660,2831,0.77,"Médio Alto"
"280",1507953,"Tailândia (PA)",7769,2819,0.36,"Muito Baixo"
"281",5105622,"Mirassol d'Oeste (MT)",3854,2815,0.73,"Médio Baixo"
"282",5102678,"Campo Verde (MT)",6370,2805,0.44,"Muito Baixo"
"283",1200435,"Santa Rosa do Purus (AC)",2954,2770,0.94,"Muito Alto"
"284",2105708,"Lago da Pedra (MA)",4285,2750,0.64,"Baixo"
"285",1508209,"Vigia (PA)",2943,2720,0.92,"Muito Alto"
"286",1504406,"Marapanim (PA)",3630,2714,0.75,"Médio Baixo"
"287",1304260,"Uarini (AM)",4510,2670,0.59,"Baixo"
"288",1506500,"Santa Izabel do Pará (PA)",3798,2670,0.7,"Médio Baixo"
"289",1300409,"Barcelos (AM)",2747,2662,0.97,"Muito Alto"
"290",1505031,"Novo Progresso (PA)",3979,2639,0.66,"Baixo"
"291",2102374,"Cachoeira Grande (MA)",2843,2628,0.92,"Muito Alto"
"292",1721000,"Palmas (TO)",3441,2619,0.76,"Médio Baixo"
"293",5106828,"Porto Esperidião (MT)",3672,2607,0.71,"Médio Baixo"
"294",5102850,"Castanheira (MT)",3187,2591,0.81,"Médio Alto"
"295",2113009,"Vitorino Freire (MA)",3718,2586,0.7,"Médio Baixo"
"296",1100106,"Guajará-Mirim (RO)",2780,2584,0.93,"Muito Alto"
"297",1100296,"Santa Luzia D'Oeste (RO)",3214,2578,0.8,"Médio Alto"
"298",1400308,"Mucajaí (RR)",3136,2577,0.82,"Médio Alto"
"299",1502152,"Canaã dos Carajás (PA)",3467,2566,0.74,"Médio Baixo"
"300",5106265,"Novo Mundo (MT)",3400,2552,0.75,"Médio Baixo"
"301",1502400,"Castanhal (PA)",3461,2545,0.74,"Médio Baixo"
"302",1200344,"Manoel Urbano (AC)",2944,2537,0.86,"Alto"
"303",1101203,"Ministro Andreazza (RO)",3616,2536,0.7,"Médio Baixo"
"304",2102705,"Cantanhede (MA)",3432,2534,0.74,"Médio Baixo"
"305",5105176,"Juruena (MT)",2935,2534,0.86,"Alto"
"306",2102408,"Cajapió (MA)",3157,2532,0.8,"Médio Alto"
"307",1502764,"Cumaru do Norte (PA)",3939,2515,0.64,"Baixo"
"308",2100477,"Alto Alegre do Pindaré (MA)",3081,2509,0.81,"Médio Alto"
"309",5104542,"Itanhangá (MT)",2932,2494,0.85,"Alto"
"310",1703842,"Campos Lindos (TO)",3219,2490,0.77,"Médio Alto"
"311",1200393,"Porto Walter (AC)",2511,2489,0.99,"Muito Alto"
"312",2102077,"Bom Lugar (MA)",3027,2486,0.82,"Médio Alto"
"313",5102793,"Carlinda (MT)",3084,2483,0.81,"Médio Alto"
"314",1100189,"Pimenta Bueno (RO)",2898,2482,0.86,"Alto"
"315",2101004,"Arari (MA)",3129,2466,0.79,"Médio Alto"
"316",2103505,"Colinas (MA)",3222,2463,0.76,"Médio Baixo"
"317",1708205,"Formoso do Araguaia (TO)",4079,2451,0.6,"Baixo"
"318",1504059,"Mãe do Rio (PA)",2659,2449,0.92,"Muito Alto"
"319",1707207,"Dois Irmãos do Tocantins (TO)",3875,2444,0.63,"Baixo"
"320",5106307,"Paranatinga (MT)",4675,2443,0.52,"Muito Baixo"
"321",1507003,"Santo Antônio do Tauá (PA)",3359,2439,0.73,"Médio Baixo"
"322",1500701,"Anajás (PA)",2900,2431,0.84,"Médio Alto"
"323",5106257,"Nova Xavantina (MT)",3479,2426,0.7,"Médio Baixo"
"324",1300060,"Amaturá (AM)",2515,2419,0.96,"Muito Alto"
"325",2104073,"Feira Nova do Maranhão (MA)",2682,2409,0.9,"Alto"
"326",5105606,"Matupá (MT)",3154,2405,0.76,"Médio Baixo"
"327",1721109,"Tocantínia (TO)",2587,2386,0.92,"Muito Alto"
"328",1502004,"Cachoeira do Arari (PA)",2595,2364,0.91,"Muito Alto"
"329",2111052,"São João do Paraíso (MA)",3034,2359,0.78,"Médio Alto"
"330",1303569,"Rio Preto da Eva (AM)",3285,2342,0.71,"Médio Baixo"
"331",1502202,"Capanema (PA)",3042,2338,0.77,"Médio Alto"
"332",5105002,"Jauru (MT)",2935,2335,0.8,"Médio Alto"
"333",2111201,"São José de Ribamar (MA)",2706,2332,0.86,"Alto"
"334",1400233,"Caroebe (RR)",3296,2330,0.71,"Médio Baixo"
"335",1101807,"Vale do Paraíso (RO)",2974,2324,0.78,"Médio Alto"
"336",1506559,"Santa Luzia do Pará (PA)",3663,2322,0.63,"Baixo"
"337",1300144,"Apuí (AM)",3695,2314,0.63,"Baixo"
"338",1506609,"Santa Maria do Pará (PA)",3608,2291,0.63,"Baixo"
"339",2114007,"Zé Doca (MA)",3188,2288,0.72,"Médio Baixo"
"340",1100924,"Chupinguaia (RO)",3331,2284,0.69,"Médio Baixo"
"341",5101852,"Bom Jesus do Araguaia (MT)",3038,2267,0.75,"Médio Baixo"
"342",1702109,"Araguaína (TO)",3346,2266,0.68,"Médio Baixo"
"343",2104602,"Governador Eugênio Barros (MA)",2974,2261,0.76,"Médio Baixo"
"344",1301704,"Humaitá (AM)",2571,2256,0.88,"Alto"
"345",5100201,"Água Boa (MT)",3652,2229,0.61,"Baixo"
"346",5107909,"Sinop (MT)",3299,2228,0.68,"Médio Baixo"
"347",1505403,"Ourém (PA)",3203,2221,0.69,"Médio Baixo"
"348",1100031,"Cabixi (RO)",3085,2214,0.72,"Médio Baixo"
"349",2110708,"São Domingos do Maranhão (MA)",3565,2213,0.62,"Baixo"
"350",2101103,"Axixá (MA)",2611,2195,0.84,"Médio Alto"
"351",2109007,"Porto Franco (MA)",2815,2195,0.78,"Médio Alto"
"352",1302207,"Juruá (AM)",3176,2189,0.69,"Médio Baixo"
"353",1302801,"Maraã (AM)",2626,2186,0.83,"Médio Alto"
"354",2107506,"Paço do Lumiar (MA)",2834,2152,0.76,"Médio Baixo"
"355",5105580,"Marcelândia (MT)",3015,2132,0.71,"Médio Baixo"
"356",5107776,"Santa Terezinha (MT)",2948,2127,0.72,"Médio Baixo"
"357",1100601,"Cacaulândia (RO)",2707,2119,0.78,"Médio Alto"
