"","cod","nome_muni","uf","pib_per_capita_corrente_2017","ativ_maior_vab_2017","ativ_segundo_maior_vab_2017","ativ_terceiro_maior_vab_2017","ibge_gini_2010","class_pib_per_capita_2017","class_ibge_gini_2010"
"74",1704600,"Chapada de Areia","TO",18478.35,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Construção",0.5254,"Médio Alto","Médio Baixo"
"75",1706506,"Darcinópolis","TO",22014.24,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita",0.5192,"Alto","Baixo"
"76",1707108,"Divinópolis do Tocantins","TO",17108.33,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6486,"Médio Alto","Muito Alto"
"77",1707207,"Dois Irmãos do Tocantins","TO",13895.55,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita",0.577,"Médio Alto","Médio Alto"
"78",1708304,"Goianorte","TO",15144.24,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.543,"Médio Alto","Médio Baixo"
"79",1710508,"Itacajá","TO",12974.96,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5928,"Médio Baixo","Médio Alto"
"80",1710706,"Itaguatins","TO",9896.42,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5611,"Médio Baixo","Médio Baixo"
"81",1711506,"Jaú do Tocantins","TO",15142.41,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6537,"Médio Alto","Muito Alto"
"82",1712157,"Lavandeira","TO",12707.78,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5088,"Médio Baixo","Baixo"
"83",1713700,"Monte Santo do Tocantins","TO",16096.22,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4928,"Médio Alto","Baixo"
"84",1713809,"Palmeiras do Tocantins","TO",9815.28,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5096,"Médio Baixo","Baixo"
"85",1713957,"Muricilândia","TO",12260.77,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5707,"Médio Baixo","Médio Alto"
"86",1715150,"Novo Alegre","TO",11358.16,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.529,"Médio Baixo","Médio Baixo"
"87",1716307,"Pau D'Arco","TO",15322.22,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita",0.5329,"Médio Alto","Médio Baixo"
"88",1716653,"Pequizeiro","TO",13650.9,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4754,"Médio Alto","Muito Baixo"
"89",1717008,"Pindorama do Tocantins","TO",10741.92,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5744,"Médio Baixo","Médio Alto"
"90",1717206,"Piraquê","TO",14908.39,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5259,"Médio Alto","Médio Baixo"
"91",1717503,"Pium","TO",18529.68,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita",0.524,"Médio Alto","Médio Baixo"
"92",1717909,"Ponte Alta do Tocantins","TO",9886.69,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5593,"Médio Baixo","Médio Baixo"
"93",1718501,"Recursolândia","TO",9660.9,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6439,"Médio Baixo","Muito Alto"
"94",1718550,"Riachinho","TO",9760.01,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5491,"Médio Baixo","Médio Baixo"
"95",1718758,"Rio Sono","TO",9388.07,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5983,"Médio Baixo","Alto"
"96",1718865,"Santa Fé do Araguaia","TO",15228.8,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5623,"Médio Alto","Médio Alto"
"97",1718899,"Santa Rita do Tocantins","TO",35707.78,"Agricultura, inclusive apoio à agricultura e a pós colheita","Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social",0.5391,"Muito Alto","Médio Baixo"
"98",1720002,"Santa Terezinha do Tocantins","TO",12002.96,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5421,"Médio Baixo","Médio Baixo"
"99",1720937,"Taipas do Tocantins","TO",10287.79,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5814,"Médio Baixo","Médio Alto"
"100",2100600,"Amarante do Maranhão","MA",6666.52,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5902,"Baixo","Médio Alto"
"101",2103174,"Centro Novo do Maranhão","MA",6545.61,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5576,"Muito Baixo","Médio Baixo"
"102",2103257,"Cidelândia","MA",8843.71,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4731,"Médio Baixo","Muito Baixo"
"103",2104073,"Feira Nova do Maranhão","MA",7795.59,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6306,"Baixo","Alto"
"104",2104099,"Formosa da Serra Negra","MA",6956.68,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.6331,"Baixo","Alto"
"105",2104651,"Governador Newton Bello","MA",6159.99,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5258,"Muito Baixo","Médio Baixo"
