"","cod_muni","muni","royalties_cfh_energia_eletrica","class_royalties_cfh","royalties_cfem_mineracao","class_royalties_cfem_mineracao"
"308",5108808,"Nova Guarita (MT)",0,0,25650.94,"Médio Alto"
"309",5108956,"Nova Monte Verde (MT)",0,0,405.92,"Muito Baixo"
"310",1100015,"Alta Floresta D'Oeste (RO)",0,0,0,0
"311",1100056,"Cerejeiras (RO)",0,0,0,0
"312",1100072,"Corumbiara (RO)",0,0,0,0
"313",1100320,"São Miguel do Guaporé (RO)",0,0,0,0
"314",1100346,"Alvorada D'Oeste (RO)",0,0,0,0
"315",1100379,"Alto Alegre dos Parecis (RO)",0,0,0,0
"316",1100502,"Novo Horizonte do Oeste (RO)",0,0,0,0
"317",1100601,"Cacaulândia (RO)",0,0,0,0
"318",1100908,"Castanheiras (RO)",0,0,0,0
"319",1100924,"Chupinguaia (RO)",0,0,0,0
"320",1101005,"Governador Jorge Teixeira (RO)",0,0,0,0
"321",1101302,"Mirante da Serra (RO)",0,0,0,0
"322",1101401,"Monte Negro (RO)",0,0,0,0
"323",1101435,"Nova União (RO)",0,0,0,0
"324",1101476,"Primavera de Rondônia (RO)",0,0,0,0
"325",1101484,"São Felipe D'Oeste (RO)",0,0,0,0
"326",1101492,"São Francisco do Guaporé (RO)",0,0,0,0
"327",1101609,"Theobroma (RO)",0,0,0,0
"328",1101708,"Urupá (RO)",0,0,0,0
"329",1101757,"Vale do Anari (RO)",0,0,0,0
"330",1200013,"Acrelândia (AC)",0,0,0,0
"331",1200054,"Assis Brasil (AC)",0,0,0,0
"332",1200138,"Bujari (AC)",0,0,0,0
"333",1200179,"Capixaba (AC)",0,0,0,0
"334",1200252,"Epitaciolândia (AC)",0,0,0,0
"335",1200302,"Feijó (AC)",0,0,0,0
"336",1200328,"Jordão (AC)",0,0,0,0
"337",1200344,"Manoel Urbano (AC)",0,0,0,0
"338",1200351,"Marechal Thaumaturgo (AC)",0,0,0,0
"339",1200385,"Plácido de Castro (AC)",0,0,0,0
"340",1200393,"Porto Walter (AC)",0,0,0,0
"341",1200427,"Rodrigues Alves (AC)",0,0,0,0
"342",1200435,"Santa Rosa do Purus (AC)",0,0,0,0
"343",1200609,"Tarauacá (AC)",0,0,0,0
"344",1200708,"Xapuri (AC)",0,0,0,0
"345",1200807,"Porto Acre (AC)",0,0,0,0
"346",1300029,"Alvarães (AM)",0,0,0,0
"347",1300060,"Amaturá (AM)",0,0,0,0
"348",1300086,"Anamã (AM)",0,0,0,0
