"","cod_muni","muni","arroz_em_casca_1","milho_em_grao_1","soja_em_grao_1","valor_producao","class_valor_producao"
"213",1718501,"Recursolândia (TO)",49,9,0,58,"Médio Baixo"
"214",1718709,"Rio dos Bois (TO)",0,2851,12665,15516,"Médio Alto"
"215",1718758,"Rio Sono (TO)",116,633,0,749,"Médio Alto"
"216",1718865,"Santa Fé do Araguaia (TO)",0,3488,11336,14824,"Médio Alto"
"217",1718881,"Santa Maria do Tocantins (TO)",0,33,2437,2470,"Médio Alto"
"218",1718899,"Santa Rita do Tocantins (TO)",0,0,12625,12625,"Médio Alto"
"219",1718907,"Santa Rosa do Tocantins (TO)",0,280,58400,58680,"Alto"
"220",1720101,"São Bento do Tocantins (TO)",18,51,0,69,"Médio Baixo"
"221",1720150,"São Félix do Tocantins (TO)",0,2,0,2,"Muito Baixo"
"222",1720259,"São Salvador do Tocantins (TO)",0,8,0,8,"Muito Baixo"
"223",1720499,"São Valério (TO)",0,909,14478,15387,"Médio Alto"
"224",1720655,"Silvanópolis (TO)",13,7037,32297,39347,"Alto"
"225",1720804,"Sítio Novo do Tocantins (TO)",0,8,0,8,"Muito Baixo"
"226",1720853,"Sucupira (TO)",0,441,12593,13034,"Médio Alto"
"227",1720903,"Taguatinga (TO)",9,98,0,107,"Médio Baixo"
"228",1720978,"Talismã (TO)",6,34,19141,19181,"Médio Alto"
"229",1721000,"Palmas (TO)",0,4109,18699,22808,"Médio Alto"
"230",1721257,"Tupirama (TO)",0,349,10648,10997,"Médio Alto"
"231",1721307,"Tupiratins (TO)",0,263,0,263,"Médio Baixo"
"232",2100055,"Açailândia (MA)",0,11384,69211,80595,"Alto"
"233",2100402,"Altamira do Maranhão (MA)",4,0,0,4,"Muito Baixo"
"234",2100477,"Alto Alegre do Pindaré (MA)",0,38,0,38,"Baixo"
"235",2100501,"Alto Parnaíba (MA)",112,2489,30561,33162,"Alto"
"236",2100600,"Amarante do Maranhão (MA)",65,706,0,771,"Médio Alto"
"237",2100956,"Arame (MA)",113,1592,0,1705,"Médio Alto"
"238",2101004,"Arari (MA)",20,14,0,34,"Baixo"
